label,Motif,Decorative_Technique
PC 19980158,"[""Flower"", ""Guilloche"", ""Feline""]","[""Incised"", ""Inscribed""]"
PC 19970127,"[""Lotus"", ""Palmette""]","[""Incised"", ""Letters"", ""Inscribed""]"
PC 20190035,0,0
VdM 20060124,0,0
PC 19710569,"[""Potnia Theron"", ""Panther""]","[""Relief"", ""Fluted"", ""Molded""]"
PC 19810182,"[""Volute""]",0
PC 19790199,0,0
PC 19990098,"[""Circles""]","[""Incised"", ""Impressed"", ""Painted""]"
PC 19990102,0,0
PC 20070199,0,"[""Inlay"", ""Incised""]"
PC 19760096,0,"[""Inscribed"", ""Letters""]"
PC 19990099,0,0
PC 20030129,0,0
PC 19990103,0,0
PC 20070107,0,"[""Inscribed""]"
PC 19860031,0,"[""Impressed""]"
PC 19810082,"[""Circles""]",0
PC 20040174,0,0
PC 20050039,0,"[""Incised""]"
PC 19840154,0,"[""Incised""]"
PC 19820030,"[""Circles""]","[""Stamped""]"
PC 19810190,"[""Circles""]","[""Stamped""]"
PC 20190022,"[""Animal"", ""Feline"", ""Panther""]","[""Molded""]"
PC 20000007,0,0
PC 20090231,"[""Circles""]","[""Stamped""]"
PC 19810083,"[""Circles""]",0
PC 19750015,0,"[""Inscribed"", ""Letters""]"
PC 19870154,0,0
PC 19880158,0,"[""Impressed""]"
PC 19720280,"[""Female""]","[""Incised"", ""Relief""]"
PC 19900031,0,0
PC 19930131,"[""Circles"", ""Dots""]","[""Incised"", ""Impressed""]"
PC 19840197,0,"[""Inscribed""]"
PC 19820028,0,"[""Pierced""]"
PC 20040074,"[""Flower""]","[""Stamped""]"
PC 20020062,0,"[""Stamped""]"
PC 20170039,0,"[""Fluted""]"
PC 19920066,0,0
PC 20170052,0,"[""Reticulated""]"
PC 20000032,"[""Circles""]","[""Painted"", ""Beveled""]"
PC 19780245,0,0
PC 20030069,"[""Guilloche""]","[""Incised"", ""Pierced""]"
PC 19990101,0,0
PC 19840054,0,"[""Inscribed""]"
PC 20190047,"[""Braid""]","[""Molded"", ""Other""]"
PC 19710083,"[""Stag"", ""Sphinx""]","[""Relief""]"
PC 20000123,0,"[""Painted""]"
PC 19970126,"[""Lotus"", ""Palmette""]","[""Incised"", ""Letters"", ""Inscribed""]"
PC 20050171,0,0
PC 20000074,0,"[""Incised"", ""Molded""]"
PC 20140093,0,0
PC 19720180,0,"[""Stamped"", ""Molded""]"
PC 19990038,0,0
PC 19970089,0,0
PC 19700107,0,"[""Molded"", ""Applique""]"
PC 20000137,0,0
PC 19880046,0,"[""Incised""]"
PC 19790164,0,0
PC 19880125,0,"[""Inscribed"", ""Molded""]"
PC 19890112,"[""Circles""]","[""Incised"", ""Stamped""]"
PC 20020049,0,0
PC 19710553,"[""Gorgon"", ""Tongue""]","[""Incised"", ""Relief""]"
PC 20020028,0,0
PC 20020064,"[""Feline""]",0
PC 19700170,"[""Circles""]","[""Incised"", ""Stamped""]"
PC 19870014,"[""Volute""]",0
PC 19710544,"[""Geometric""]","[""Molded""]"
PC 20190033,"[""Geometric""]","[""Incised""]"
PC 19710092,"[""Notches"", ""Duck"", ""Ram""]","[""Applique"", ""Incised""]"
PC 19970181,0,"[""Incised"", ""Letters"", ""Inscribed""]"
PC 20000005,0,"[""Cavetto""]"
PC 20020077,0,0
PC 19880118,0,0
PC 19780209,0,0
PC 19720354,0,"[""Incised""]"
PC 19760168,"[""Rosette"", ""Circles"", ""Guilloche""]","[""Stamped"", ""Incised""]"
PC 20070088,0,"[""Stamped""]"
PC 19810059,"[""Feline""]","[""Stamped""]"
PC 19790009,"[""Stag"", ""Animal"", ""Griffin""]","[""Stamped""]"
PC 20150052,"[""Banquet"", ""Figure""]","[""Relief""]"
PC 19890116,0,0
PC 19710543,"[""Volute"", ""Bean""]","[""Incised"", ""Relief"", ""Burnished""]"
PC 20090238,"[""Lotus""]","[""Roulette"", ""Stamped""]"
PC 20190010,"[""Geometric"", ""Triangular"", ""Other""]","[""Incised"", ""Stamped""]"
PC 20000036,"[""Circles""]",0
PC 19860074,0,"[""Incised""]"
PC 19880132,0,0
PC 19700340,0,"[""Incised"", ""Inscribed""]"
PC 19770034,"[""Animal"", ""Dots""]","[""Stamped""]"
PC 19870079,"[""Lotus"", ""Palmette""]","[""Stamped""]"
PC 19820003,0,"[""Incised"", ""Impressed""]"
PC 20130106,0,0
PC 19820081,0,"[""Incised""]"
PC 19820095,"[""Sphinx"", ""Animal""]","[""Incised""]"
PC 19870092,"[""Palmette"", ""Lotus"", ""Flower""]","[""Stamped""]"
PC 20020072,0,0
PC 19920088,"[""Rosette"", ""Braid""]","[""Incised"", ""Stamped"", ""Painted""]"
PC 19890030,"[""Palmette"", ""Lotus""]",0
PC 19890023,0,0
PC 20020011,"[""Volute""]",0
PC 19840083,"[""Figure""]","[""Incised"", ""Fluted"", ""Molded""]"
PC 20070019,0,"[""Stamped"", ""Incised""]"
PC 19880098,"[""Circles""]","[""Incised"", ""Fluted""]"
PC 20020051,"[""Gorgon"", ""Tongue""]",0
PC 19880154,0,0
PC 19840217,0,0
PC 20020004,"[""Feline""]",0
PC 20020075,0,0
PC 20050032,0,0
PC 20020071,"[""Feline""]",0
PC 20000073,"[""Horse Race""]",0
PC 20000138,0,"[""Painted""]"
PC 20000008,0,0
PC 20190043,0,0
PC 19890079,"[""Palmette"", ""Lotus""]","[""Relief""]"
PC 19880099,0,"[""Stamped""]"
PC 19830098,0,"[""Painted""]"
PC 20090016,0,"[""Stamped""]"
PC 20130079,0,0
PC 19740037,0,"[""Relief""]"
PC 19870042,0,0
PC 20010006,0,0
PC 19870041,0,0
VdM 20060168,0,0
PC 19870076,"[""Palmette"", ""Lotus""]","[""Stamped""]"
PC 19890131,0,"[""Stamped""]"
PC 20000044,"[""Circles""]",0
PC 19920087,"[""Chevron""]","[""Incised""]"
PC 20030122,0,0
PC 20000119,"[""Seated Figure""]","[""Painted""]"
PC 20050176,0,"[""Pierced""]"
PC 19820167,0,"[""Inscribed""]"
PC 19950138,0,0
VdM 20060141,0,"[""Incised""]"
PC 20040154,0,0
PC 20050131,0,"[""Stamped""]"
PC 20070313,0,0
PC 19740016,"[""Bean""]","[""Applique""]"
PC 19840032,"[""Circles""]","[""Stamped""]"
PC 20120212,0,0
PC 20000142,"[""Vegetal""]",0
PC 19830096,0,"[""Painted""]"
PC 20000066,0,"[""Applique""]"
PC 20000081,"[""Circles""]","[""Incised"", ""Impressed""]"
PC 20000058,0,"[""Painted""]"
PC 19840060,0,0
PC 19840079,0,"[""Incised""]"
PC 20190037,0,"[""Incised""]"
PC 19870082,"[""Procession"", ""Animal"", ""Stag""]","[""Incised"", ""Stamped""]"
PC 20080242,0,0
PC 20070089,"[""Sphinx"", ""Quadruped""]","[""Stamped""]"
PC 20090162,"[""Circles""]","[""Stamped""]"
PC 19820110,"[""Circles""]","[""Stamped""]"
PC 19730298,0,"[""Molded""]"
PC 20190006,0,0
PC 20020069,"[""Gorgon""]",0
PC 19830070,"[""Feline""]",0
PC 19780097,0,"[""Painted""]"
PC 20020046,0,0
PC 20000128,0,"[""Fenestrated""]"
PC 19870015,0,"[""Fluted""]"
PC 19890070,0,"[""Incised""]"
PC 19890061,0,"[""Incised"", ""Stamped""]"
PC 19970008,0,"[""Ridged""]"
PC 20150053,"[""Banquet"", ""Figure"", ""Guilloche""]","[""Relief""]"
PC 19740012,0,"[""Ridged"", ""Incised""]"
PC 19850102,"[""Tongue""]","[""Incised"", ""Relief""]"
PC 19820091,0,"[""Incised""]"
PC 19780121,0,"[""Stamped""]"
VdM20175009,0,"[""Painted""]"
PC 19870127,0,"[""Inscribed""]"
PC 20000051,"[""Circles""]","[""Painted""]"
PC 19990051,"[""Lotus"", ""Palmette"", ""Sphinx""]","[""Roulette"", ""Stamped""]"
PC 20040071,0,"[""Incised"", ""Stamped""]"
PC 20000009,0,0
PC 19730273,"[""Female""]","[""Incised"", ""Molded""]"
PC 19870019,0,0
PC 20020033,0,"[""Incised"", ""Stippled""]"
PC 20000029,"[""Palmette""]",0
PC 20000075,"[""Circles""]","[""Painted""]"
PC 19850116,0,0
PC 19870065,0,"[""Stamped""]"
PC 20000124,0,0
PC 19820035,0,"[""Inscribed""]"
PC 19850132,"[""Guilloche"", ""Circles""]","[""Incised""]"
PC 20070139,"[""Quadruped""]","[""Stamped""]"
PC 20020052,0,0
PC 19710821,0,"[""Incised""]"
PC 20000135,0,0
PC 19850084,0,"[""Incised""]"
PC 19800087,0,0
PC 19890080,"[""Circles""]","[""Stamped""]"
PC 19920034,0,"[""Pierced""]"
