label,Motif
PC 0(a),0
PC 0(b),0
PC 0(c),0
PC 0(d),0
PC 0(e),0
PC 19660001,0
PC 19660002,Rosette
PC 19660003,0
PC 19660004,0
PC 19660005,0
PC 19660006,0
PC 19660007,0
PC 19660008,Circles
PC 19660009,0
PC 19660010,0
PC 19660011,0
PC 19660012,0
PC 19660013,0
PC 19660014,0
PC 19660015,0
PC 19660016,0
PC 19660017,Female
PC 19660018,0
PC 19660019,Palmette
PC 19660020,0
PC 19660021,0
PC 19660022,Circles
PC 19660023,0
PC 19660024,0
PC 19660025,0
PC 19660026,0
PC 19660027,Gorgon
PC 19660027,Tongue
PC 19660028,Gorgon
PC 19660029,Gorgon
PC 19660030,0
PC 19660031,0
PC 19660032,0
PC 19660033,0
PC 19660034,Rosette
PC 19660035,0
PC 19660036,Ram
PC 19660037,0
PC 19660038,Banquet
PC 19660038,Guilloche
PC 19660038,Female
PC 19660039,Female
PC 19660039,Banquet
PC 19660040,Banquet
PC 19660040,Female
PC 19660041,Banquet
PC 19660042,Banquet
PC 19660042,Female
PC 19660043,Banquet
PC 19660044,Banquet
PC 19660045,Banquet
PC 19660045,Guilloche
PC 19660045,Female
PC 19660046,Banquet
PC 19660047,Horse
PC 19660048,Horse Race
PC 19660049,Horse Race
PC 19660049,Guilloche
PC 19660050,Horse Race
PC 19660051,Horse Race
PC 19660052,Horse
PC 19660053,Horse
PC 19660054,Feline
PC 19660055,Deer
PC 19660055,Horse Race
PC 19660056,Rosette
PC 19660057,0
PC 19660058,0
PC 19660059,Rosette
PC 19660060,Feline
PC 19660061,Guilloche
PC 19660061,Lotus
PC 19660061,Procession
PC 19660062,Female
PC 19660062,Procession
PC 19660062,Lotus
PC 19660063,Procession
PC 19660063,Female
PC 19660064,Lotus
PC 19660064,Female
PC 19660064,Procession
PC 19660065,Procession
PC 19660066,Procession
PC 19660066,Lotus
PC 19660067,Guilloche
PC 19660067,Procession
PC 19660067,Female
PC 19660068,Guilloche
PC 19660068,Procession
PC 19660068,Female
PC 19660069,Female
PC 19660069,Procession
PC 19660069,Guilloche
PC 19660070,Procession
PC 19660070,Guilloche
PC 19660071,Guilloche
PC 19660071,Procession
PC 19660072,Guilloche
PC 19660072,Procession
PC 19660072,Female
PC 19660073,Female
PC 19660073,Guilloche
PC 19660073,Procession
PC 19660074,Female
PC 19660074,Guilloche
PC 19660074,Procession
PC 19660075,Procession
PC 19660075,Female
PC 19660076,Female
PC 19660076,Procession
PC 19660077,Procession
PC 19660077,Female
PC 19660078,Procession
PC 19660078,Female
PC 19660079,Female
PC 19660079,Procession
PC 19660080,Female
PC 19660080,Procession
PC 19660081,Procession
PC 19660081,Guilloche
PC 19660082,Procession
PC 19660083,Procession
PC 19660083,Female
PC 19660083,Guilloche
PC 19660084,Procession
PC 19660085,Procession
PC 19660086,Procession
PC 19660087,Procession
PC 19660088,Procession
PC 19660088,Female
PC 19660088,Seated Figure
PC 19660089,Procession
PC 19660090,Procession
PC 19660091,Procession
PC 19660091,Bird
PC 19660091,Seated Figure
PC 19660092,Seated Figure
PC 19660092,Flower
PC 19660092,Lotus
PC 19660093,Guilloche
PC 19660093,Seated Figure
PC 19660094,Horse Race
PC 19660095,0
PC 19660096,Horse Race
PC 19660097,Horse Race
PC 19660097,Guilloche
PC 19660098,Procession
PC 19660099,Horse
PC 19660100,Guilloche
PC 19660100,Banquet
PC 19660100,Female
PC 19660101,Banquet
PC 19660102,0
PC 19660103,Banquet
PC 19660103,Female
PC 19660104,Rosette
PC 19660105,0
PC 19660106,0
PC 19660107,0
PC 19660108,0
PC 19660109,0
PC 19660110,0
PC 19660111,0
PC 19660112,0
PC 19660113,Sphinx
PC 19660113,Feline
PC 19660113,Animal
PC 19660114,0
PC 19660115,Banquet
PC 19660115,Guilloche
PC 19660116,Horse Race
PC 19660116,Guilloche
PC 19660117,Horse Race
PC 19660117,Guilloche
PC 19660118,Procession
PC 19660118,Guilloche
PC 19660118,Female
PC 19660119,Male
PC 19660120,Male
PC 19660121,0
PC 19660122,Lotus
PC 19660122,Female
PC 19660122,Procession
PC 19660123,Female
PC 19660123,Procession
PC 19660124,Procession
PC 19660125,Banquet
PC 19660126,Horse Race
PC 19660127,Horse Race
PC 19660128,Female
PC 19660128,Seated Figure
PC 19660129,Circles
PC 19660129,Seated Figure
PC 19660130,Female
PC 19660130,Seated Figure
PC 19660130,Guilloche
PC 19660131,Female
PC 19660132,Female
PC 19660132,Procession
PC 19660133,Seated Figure
PC 19660134,Rosette
PC 19660135,Gorgon
PC 19660135,Tongue
PC 19660136,Gorgon
PC 19660137,Gorgon
PC 19660138,Horse Race
PC 19660139,0
PC 19660140,Guilloche
PC 19660140,Tongue
PC 19660140,Procession
PC 19660141,Guilloche
PC 19660142,Lotus
PC 19660143,0
PC 19660144,Horse Race
PC 19660145,Horse Race
PC 19660146,Horse Race
PC 19660147,0
PC 19660148,0
PC 19660149,0
PC 19660150,Panther
PC 19660151,Male
PC 19660152,0
PC 19660153,Feline
PC 19660154,Lion
PC 19660155,Panther
PC 19660156,Procession
PC 19660156,Tongue
PC 19660157,0
PC 19660158,Horse Race
PC 19660159,Horse Race
PC 19660160,Procession
PC 19660160,Female
PC 19660161,Horse Race
PC 19660162,0
PC 19660163,0
PC 19660164,0
PC 19660165,0
PC 19660166,0
PC 19660167,0
PC 19660168,0
PC 19660169,Guilloche
PC 19660169,Horse Race
PC 19660170,Procession
PC 19660171,Ram
PC 19660172,Gorgon
PC 19660173,0
PC 19660174,Dots
PC 19660175,Feline
PC 19660175,Rosette
PC 19660176,0
PC 19660177,0
PC 19660178,0
PC 19660179,0
PC 19660180,0
PC 19660181,0
PC 19660182,0
PC 19660183,Banquet
PC 19660183,Female
PC 19660184,Female
PC 19660184,Banquet
PC 19660185,Banquet
PC 19660187,Banquet
PC 19660188,0
PC 19660189,Female
PC 19660189,Banquet
PC 19660190,Banquet
PC 19660191,Banquet
PC 19660192,Banquet
PC 19660193,Guilloche
PC 19660193,Female
PC 19660193,Banquet
PC 19660194,Banquet
PC 19660194,Female
PC 19660195,Guilloche
PC 19660195,Horse Race
PC 19660196,Female
PC 19660196,Banquet
PC 19660197,Banquet
PC 19660198,Guilloche
PC 19660198,Female
PC 19660198,Banquet
PC 19660199,Female
PC 19660199,Banquet
PC 19660200,0
PC 19660201,0
PC 19660202,Horse Race
PC 19660203,0
PC 19660204,0
PC 19660205,Female
PC 19660205,Guilloche
PC 19660205,Banquet
PC 19660206,Guilloche
PC 19660206,Horse Race
PC 19660207,0
PC 19660208,0
PC 19660209,0
PC 19660210,0
PC 19660211,0
PC 19660212,Dots
PC 19660213,0
PC 19660214,Banquet
PC 19660215,Lion
PC 19660216,Procession
PC 19660217,0
PC 19660218,Guilloche
PC 19660219,Horse Race
PC 19660220,Female
PC 19660220,Banquet
PC 19660221,Gorgon
PC 19660222,Feline
PC 19660223,Feline
PC 19660224,Seated Figure
PC 19660224,Guilloche
PC 19660224,Horse Race
PC 19660225,Rosette
PC 19660226,Guilloche
PC 19660226,Horse Race
PC 19660227,Panther
PC 19660227,Feline
PC 19660228,0
PC 19660229,Feline
PC 19660229,Panther
PC 19660230,Feline
PC 19660231,Seated Figure
PC 19660231,Lotus
PC 19660231,Guilloche
PC 19660232,Lotus
PC 19660232,Procession
PC 19660232,Guilloche
PC 19660233,Gorgon
PC 19660233,Tongue
PC 19660234,Gorgon
PC 19660235,0
PC 19660236,0
PC 19660237,Rosette
PC 19660237,Panther
PC 19660238,Rosette
PC 19660239,Panther
PC 19660240,Animal
PC 19660240,Panther
PC 19660241,Guilloche
PC 19660241,Procession
PC 19660242,Procession
PC 19660242,Guilloche
PC 19660243,Lotus
PC 19660243,Procession
