motif,dec_tec,weight
No Motif,No Decorative Technique,6831
No Motif,Applique,41
No Motif,Beveled,61
No Motif,Bifurcated,1
No Motif,Burnished,12
No Motif,Cavetto,182
No Motif,Fenestrated,80
No Motif,Finger Incised,42
No Motif,Fluted,82
No Motif,Impressed,138
No Motif,Incised,1088
No Motif,Inlay,119
No Motif,Inscribed,144
No Motif,Letters,24
No Motif,Molded,162
No Motif,Other,2
No Motif,Painted,383
No Motif,Pierced,73
No Motif,Plastic,5
No Motif,Punched,6
No Motif,Relief,44
No Motif,Reticulated,6
No Motif,Ribbed,13
No Motif,Ridged,127
No Motif,Roulette,2
No Motif,Scalloped,20
No Motif,Slipped,16
No Motif,Stamped,209
No Motif,Stippled,8
Animal,No Decorative Technique,32
Animal,Applique,1
Animal,Beveled,0
Animal,Bifurcated,0
Animal,Burnished,0
Animal,Cavetto,0
Animal,Fenestrated,0
Animal,Finger Incised,0
Animal,Fluted,0
Animal,Impressed,1
Animal,Incised,24
Animal,Inlay,0
Animal,Inscribed,4
Animal,Letters,1
Animal,Molded,7
Animal,Other,0
Animal,Painted,4
Animal,Pierced,1
Animal,Plastic,1
Animal,Punched,0
Animal,Relief,9
Animal,Reticulated,0
Animal,Ribbed,1
Animal,Ridged,2
Animal,Roulette,2
Animal,Scalloped,0
Animal,Slipped,0
Animal,Stamped,21
Animal,Stippled,0
Asterisk,No Decorative Technique,0
Asterisk,Applique,0
Asterisk,Beveled,0
Asterisk,Bifurcated,0
Asterisk,Burnished,0
Asterisk,Cavetto,0
Asterisk,Fenestrated,0
Asterisk,Finger Incised,0
Asterisk,Fluted,0
Asterisk,Impressed,0
Asterisk,Incised,0
Asterisk,Inlay,0
Asterisk,Inscribed,0
Asterisk,Letters,1
Asterisk,Molded,0
Asterisk,Other,0
Asterisk,Painted,0
Asterisk,Pierced,0
Asterisk,Plastic,0
Asterisk,Punched,0
Asterisk,Relief,1
Asterisk,Reticulated,0
Asterisk,Ribbed,0
Asterisk,Ridged,0
Asterisk,Roulette,0
Asterisk,Scalloped,0
Asterisk,Slipped,0
Asterisk,Stamped,0
Asterisk,Stippled,0
Banquet,No Decorative Technique,240
Banquet,Applique,0
Banquet,Beveled,0
Banquet,Bifurcated,0
