motifs1,motifs2,weights
Rosette,Rosette,180
Rosette,Circles,3
Rosette,Female,1
Rosette,Palmette,1
Rosette,Gorgon,0
Rosette,Tongue,0
Rosette,Ram,0
Rosette,Banquet,0
Rosette,Guilloche,1
Rosette,Horse,0
Rosette,Horse Race,0
Rosette,Feline,18
Rosette,Deer,0
Rosette,Lotus,0
Rosette,Procession,0
Rosette,Seated Figure,0
Rosette,Bird,0
Rosette,Flower,1
Rosette,Sphinx,0
Rosette,Animal,1
Rosette,Male,0
Rosette,Panther,2
Rosette,Lion,1
Rosette,Dots,4
Rosette,Meander,2
Rosette,Geometric,0
Rosette,Volute,0
Rosette,Potnia Theron,0
Rosette,Bearded Head,0
Rosette,Bucrania,0
Rosette,Rabbit,0
Rosette,Warrior,0
Rosette,Hair,1
Rosette,Griffin,0
Rosette,Quadruped,0
Rosette,Bearded,0
Rosette,Notches,0
Rosette,Bull,0
Rosette,Figure,0
Rosette,Stag,0
Rosette,Chevron,0
Rosette,Duck,0
Rosette,Wrestler,0
Rosette,Umpire,0
Rosette,Bean,0
Rosette,Cross-Hatched,0
Rosette,Triangular,0
Rosette,Ray,0
Rosette,Vegetal,0
Rosette,Caryatid,0
Rosette,Braid,1
Rosette,Florette,0
Rosette,Asterisk,0
Rosette,Chevrons,0
Rosette,Other,0
Circles,Rosette,3
Circles,Circles,231
Circles,Female,0
Circles,Palmette,2
Circles,Gorgon,0
Circles,Tongue,0
Circles,Ram,0
Circles,Banquet,1
Circles,Guilloche,10
Circles,Horse,0
Circles,Horse Race,0
Circles,Feline,2
Circles,Deer,0
Circles,Lotus,1
Circles,Procession,0
Circles,Seated Figure,1
Circles,Bird,2
Circles,Flower,3
Circles,Sphinx,0
Circles,Animal,1
Circles,Male,0
Circles,Panther,1
Circles,Lion,0
Circles,Dots,6
Circles,Meander,1
Circles,Geometric,1
Circles,Volute,2
Circles,Potnia Theron,1
Circles,Bearded Head,0
Circles,Bucrania,0
Circles,Rabbit,0
Circles,Warrior,0
Circles,Hair,0
Circles,Griffin,0
Circles,Quadruped,4
Circles,Bearded,0
Circles,Notches,0
Circles,Bull,1
Circles,Figure,0
Circles,Stag,0
Circles,Chevron,0
Circles,Duck,0
Circles,Wrestler,0
Circles,Umpire,0
Circles,Bean,1
Circles,Cross-Hatched,0
Circles,Triangular,1
Circles,Ray,0
Circles,Vegetal,0
Circles,Caryatid,0
Circles,Braid,0
Circles,Florette,0
Circles,Asterisk,0
Circles,Chevrons,0
Circles,Other,0
Female,Rosette,1
Female,Circles,0
Female,Female,204
Female,Palmette,4
Female,Gorgon,1
Female,Tongue,0
Female,Ram,0
Female,Banquet,62
Female,Guilloche,34
Female,Horse,0
Female,Horse Race,0
Female,Feline,1
Female,Deer,0
Female,Lotus,9
Female,Procession,59
Female,Seated Figure,17
Female,Bird,2
Female,Flower,3
Female,Sphinx,0
Female,Animal,1
Female,Male,1
Female,Panther,0
Female,Lion,1
Female,Dots,0
Female,Meander,0
Female,Geometric,0
Female,Volute,2
Female,Potnia Theron,3
Female,Bearded Head,0
Female,Bucrania,0
Female,Rabbit,0
Female,Warrior,0
Female,Hair,2
Female,Griffin,0
Female,Quadruped,0
Female,Bearded,0
Female,Notches,2
Female,Bull,0
Female,Figure,4
Female,Stag,0
Female,Chevron,0
Female,Duck,0
Female,Wrestler,0
Female,Umpire,0
Female,Bean,0
Female,Cross-Hatched,0
Female,Triangular,0
Female,Ray,0
Female,Vegetal,0
Female,Caryatid,0
Female,Braid,0
Female,Florette,0
Female,Asterisk,0
Female,Chevrons,0
Female,Other,0
Palmette,Rosette,1
Palmette,Circles,2
Palmette,Female,4
Palmette,Palmette,108
Palmette,Gorgon,0
Palmette,Tongue,0
Palmette,Ram,0
Palmette,Banquet,0
Palmette,Guilloche,2
Palmette,Horse,0
Palmette,Horse Race,0
Palmette,Feline,0
Palmette,Deer,1
Palmette,Lotus,40
Palmette,Procession,0
Palmette,Seated Figure,0
Palmette,Bird,0
Palmette,Flower,5
Palmette,Sphinx,2
Palmette,Animal,0
Palmette,Male,0
Palmette,Panther,0
Palmette,Lion,0
Palmette,Dots,2
Palmette,Meander,0
Palmette,Geometric,0
Palmette,Volute,6
Palmette,Potnia Theron,0
Palmette,Bearded Head,0
Palmette,Bucrania,0
Palmette,Rabbit,0
Palmette,Warrior,0
Palmette,Hair,0
Palmette,Griffin,0
Palmette,Quadruped,0
Palmette,Bearded,0
Palmette,Notches,0
Palmette,Bull,0
Palmette,Figure,1
Palmette,Stag,0
Palmette,Chevron,0
Palmette,Duck,0
Palmette,Wrestler,0
Palmette,Umpire,0
Palmette,Bean,0
Palmette,Cross-Hatched,0
Palmette,Triangular,0
Palmette,Ray,0
Palmette,Vegetal,0
Palmette,Caryatid,0
Palmette,Braid,0
Palmette,Florette,0
Palmette,Asterisk,0
Palmette,Chevrons,0
Palmette,Other,0
Gorgon,Rosette,0
Gorgon,Circles,0
Gorgon,Female,1
Gorgon,Palmette,0
Gorgon,Gorgon,256
Gorgon,Tongue,49
Gorgon,Ram,0
Gorgon,Banquet,0
Gorgon,Guilloche,0
Gorgon,Horse,0
Gorgon,Horse Race,0
Gorgon,Feline,3
Gorgon,Deer,0
Gorgon,Lotus,0
Gorgon,Procession,0
Gorgon,Seated Figure,0
Gorgon,Bird,0
Gorgon,Flower,0
Gorgon,Sphinx,0
Gorgon,Animal,0
Gorgon,Male,0
Gorgon,Panther,0
Gorgon,Lion,1
Gorgon,Dots,2
Gorgon,Meander,0
Gorgon,Geometric,0
Gorgon,Volute,0
Gorgon,Potnia Theron,0
Gorgon,Bearded Head,0
Gorgon,Bucrania,0
Gorgon,Rabbit,0
Gorgon,Warrior,0
Gorgon,Hair,9
Gorgon,Griffin,0
Gorgon,Quadruped,0
